Vx	V(q)	V(q_bar)
6.000000000000000e-02	2.945939e-02	1.799999e+00
6.100000000000000e-02	2.995614e-02	1.799999e+00
6.200000000000000e-02	3.045309e-02	1.799999e+00
6.300000000000000e-02	3.095023e-02	1.799999e+00
6.400000000000000e-02	3.144756e-02	1.799999e+00
6.500000000000000e-02	3.194508e-02	1.799999e+00
6.600000000000000e-02	3.244280e-02	1.799999e+00
6.700000000000000e-02	3.294071e-02	1.799999e+00
6.800000000000000e-02	3.343882e-02	1.799999e+00
6.900000000000001e-02	3.393712e-02	1.799999e+00
7.000000000000001e-02	3.443560e-02	1.799999e+00
7.100000000000001e-02	3.493429e-02	1.799999e+00
7.200000000000001e-02	3.543317e-02	1.799999e+00
7.300000000000000e-02	3.593224e-02	1.799999e+00
7.400000000000000e-02	3.643151e-02	1.799999e+00
7.500000000000000e-02	3.693097e-02	1.799999e+00
7.600000000000000e-02	3.743063e-02	1.799999e+00
7.700000000000000e-02	3.793048e-02	1.799999e+00
7.800000000000000e-02	3.843052e-02	1.799999e+00
7.900000000000000e-02	3.893077e-02	1.799999e+00
8.000000000000000e-02	3.943120e-02	1.799999e+00
8.100000000000000e-02	3.993183e-02	1.799999e+00
8.200000000000000e-02	4.043266e-02	1.799999e+00
8.300000000000000e-02	4.093368e-02	1.799999e+00
8.400000000000001e-02	4.143490e-02	1.799999e+00
8.500000000000001e-02	4.193632e-02	1.799999e+00
8.600000000000001e-02	4.243793e-02	1.799999e+00
8.700000000000001e-02	4.293974e-02	1.799999e+00
8.799999999999999e-02	4.344174e-02	1.799999e+00
8.900000000000000e-02	4.394394e-02	1.799999e+00
9.000000000000000e-02	4.444634e-02	1.799999e+00
9.100000000000000e-02	4.494894e-02	1.799999e+00
9.200000000000000e-02	4.545173e-02	1.799999e+00
9.300000000000000e-02	4.595472e-02	1.799999e+00
9.400000000000000e-02	4.645790e-02	1.799999e+00
9.500000000000000e-02	4.696129e-02	1.799999e+00
9.600000000000000e-02	4.746487e-02	1.799999e+00
9.700000000000000e-02	4.796865e-02	1.799999e+00
9.800000000000000e-02	4.847263e-02	1.799999e+00
9.900000000000000e-02	4.897681e-02	1.799999e+00
1.000000000000000e-01	4.948118e-02	1.799999e+00
1.010000000000000e-01	4.998576e-02	1.799999e+00
1.020000000000000e-01	5.049052e-02	1.799999e+00
1.030000000000000e-01	5.099550e-02	1.799999e+00
1.040000000000000e-01	5.150067e-02	1.799999e+00
1.050000000000000e-01	5.200604e-02	1.799999e+00
1.060000000000000e-01	5.251161e-02	1.799999e+00
1.070000000000000e-01	5.301738e-02	1.799999e+00
1.080000000000000e-01	5.352335e-02	1.799999e+00
1.090000000000000e-01	5.402951e-02	1.799999e+00
1.100000000000000e-01	5.453588e-02	1.799999e+00
1.110000000000000e-01	5.504245e-02	1.799999e+00
1.120000000000000e-01	5.554922e-02	1.799999e+00
1.130000000000000e-01	5.605619e-02	1.799999e+00
1.140000000000000e-01	5.656336e-02	1.799999e+00
1.150000000000000e-01	5.707074e-02	1.799999e+00
1.160000000000000e-01	5.757831e-02	1.799999e+00
1.170000000000000e-01	5.808608e-02	1.799999e+00
1.180000000000000e-01	5.859406e-02	1.799999e+00
1.190000000000000e-01	5.910223e-02	1.799999e+00
1.200000000000000e-01	5.961061e-02	1.799999e+00
1.210000000000000e-01	6.011919e-02	1.799999e+00
1.220000000000000e-01	6.062797e-02	1.799999e+00
1.230000000000000e-01	6.113696e-02	1.799999e+00
1.240000000000000e-01	6.164615e-02	1.799998e+00
1.250000000000000e-01	6.215554e-02	1.799998e+00
1.260000000000000e-01	6.266513e-02	1.799998e+00
1.270000000000000e-01	6.317493e-02	1.799998e+00
1.280000000000000e-01	6.368493e-02	1.799998e+00
1.290000000000000e-01	6.419513e-02	1.799998e+00
1.300000000000000e-01	6.470554e-02	1.799998e+00
1.310000000000000e-01	6.521614e-02	1.799998e+00
1.320000000000000e-01	6.572695e-02	1.799998e+00
1.330000000000000e-01	6.623797e-02	1.799998e+00
1.340000000000000e-01	6.674919e-02	1.799998e+00
1.350000000000000e-01	6.726062e-02	1.799998e+00
1.360000000000000e-01	6.777225e-02	1.799998e+00
1.370000000000000e-01	6.828408e-02	1.799998e+00
1.380000000000000e-01	6.879611e-02	1.799998e+00
1.390000000000000e-01	6.930836e-02	1.799998e+00
1.400000000000000e-01	6.982081e-02	1.799998e+00
1.410000000000000e-01	7.033346e-02	1.799998e+00
1.420000000000000e-01	7.084632e-02	1.799998e+00
1.430000000000000e-01	7.135939e-02	1.799998e+00
